#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   135   0.387173E+04  -0.430117E+02   0.252458E-03  -0.430117E+02   0.111256E+01  -0.128887E-05   0.252458E-03  -0.128887E-05   0.820557E-07
   136   0.390628E+04  -0.433644E+02   0.250085E-03  -0.433644E+02   0.111470E+01  -0.127958E-05   0.250085E-03  -0.127958E-05   0.815695E-07
   137   0.394086E+04  -0.436999E+02   0.247742E-03  -0.436999E+02   0.111639E+01  -0.126943E-05   0.247742E-03  -0.126943E-05   0.810873E-07
   138   0.397537E+04  -0.440166E+02   0.245429E-03  -0.440166E+02   0.111755E+01  -0.125864E-05   0.245429E-03  -0.125864E-05   0.806091E-07
   139   0.400968E+04  -0.443139E+02   0.243146E-03  -0.443139E+02   0.111833E+01  -0.124746E-05   0.243146E-03  -0.124746E-05   0.801347E-07
   140   0.404408E+04  -0.445924E+02   0.240894E-03  -0.445924E+02   0.111851E+01  -0.123616E-05   0.240894E-03  -0.123616E-05   0.796642E-07
   141   0.407827E+04  -0.448498E+02   0.238674E-03  -0.448498E+02   0.111815E+01  -0.122500E-05   0.238674E-03  -0.122500E-05   0.791976E-07
   142   0.411247E+04  -0.450870E+02   0.236487E-03  -0.450870E+02   0.111734E+01  -0.121425E-05   0.236487E-03  -0.121425E-05   0.787349E-07
   143   0.414661E+04  -0.453039E+02   0.234332E-03  -0.453039E+02   0.111607E+01  -0.120415E-05   0.234332E-03  -0.120415E-05   0.782759E-07
   144   0.418055E+04  -0.454996E+02   0.232211E-03  -0.454996E+02   0.111428E+01  -0.119489E-05   0.232211E-03  -0.119489E-05   0.778208E-07
   145   0.421435E+04  -0.456736E+02   0.230121E-03  -0.456736E+02   0.111210E+01  -0.118633E-05   0.230121E-03  -0.118633E-05   0.773695E-07
   146   0.424824E+04  -0.458257E+02   0.228061E-03  -0.458257E+02   0.110931E+01  -0.117824E-05   0.228061E-03  -0.117824E-05   0.769218E-07
   147   0.428177E+04  -0.459546E+02   0.226028E-03  -0.459546E+02   0.110615E+01  -0.117039E-05   0.226028E-03  -0.117039E-05   0.764778E-07
   148   0.431516E+04  -0.460618E+02   0.224022E-03  -0.460618E+02   0.110245E+01  -0.116256E-05   0.224022E-03  -0.116256E-05   0.760373E-07
   149   0.434848E+04  -0.461457E+02   0.222040E-03  -0.461457E+02   0.109829E+01  -0.115453E-05   0.222040E-03  -0.115453E-05   0.756004E-07
   150   0.438152E+04  -0.462042E+02   0.220080E-03  -0.462042E+02   0.109376E+01  -0.114606E-05   0.220080E-03  -0.114606E-05   0.751669E-07
   151   0.441442E+04  -0.462403E+02   0.218141E-03  -0.462403E+02   0.108876E+01  -0.113697E-05   0.218141E-03  -0.113697E-05   0.747368E-07
   152   0.444703E+04  -0.462524E+02   0.216222E-03  -0.462524E+02   0.108324E+01  -0.112726E-05   0.216222E-03  -0.112726E-05   0.743101E-07
   153   0.447950E+04  -0.462383E+02   0.214325E-03  -0.462383E+02   0.107732E+01  -0.111694E-05   0.214325E-03  -0.111694E-05   0.738868E-07
   154   0.451176E+04  -0.462002E+02   0.212450E-03  -0.462002E+02   0.107103E+01  -0.110606E-05   0.212450E-03  -0.110606E-05   0.734670E-07
