#    L    TT             EE             BB             TE          
   322   0.333635E+04   0.131292E+02   0.342380E-01   0.117099E+03
   323   0.330352E+04   0.133150E+02   0.343752E-01   0.116600E+03
   324   0.327085E+04   0.135015E+02   0.345118E-01   0.116056E+03
   325   0.323840E+04   0.136851E+02   0.346478E-01   0.115489E+03
   326   0.320604E+04   0.138701E+02   0.347832E-01   0.114872E+03
   327   0.317392E+04   0.140544E+02   0.349180E-01   0.114225E+03
   328   0.314201E+04   0.142372E+02   0.350522E-01   0.113548E+03
   329   0.311027E+04   0.144200E+02   0.351858E-01   0.112826E+03
   330   0.307875E+04   0.146013E+02   0.353189E-01   0.112067E+03
   331   0.304752E+04   0.147818E+02   0.354514E-01   0.111278E+03
   332   0.301645E+04   0.149623E+02   0.355834E-01   0.110459E+03
   333   0.298560E+04   0.151413E+02   0.357149E-01   0.109602E+03
   334   0.295505E+04   0.153195E+02   0.358459E-01   0.108707E+03
   335   0.292465E+04   0.154955E+02   0.359764E-01   0.107774E+03
   336   0.289455E+04   0.156708E+02   0.361064E-01   0.106811E+03
   337   0.286476E+04   0.158452E+02   0.362359E-01   0.105804E+03
   338   0.283519E+04   0.160174E+02   0.363650E-01   0.104773E+03
   339   0.280600E+04   0.161895E+02   0.364936E-01   0.103705E+03
   340   0.277705E+04   0.163593E+02   0.366219E-01   0.102614E+03
   341   0.274833E+04   0.165269E+02   0.367497E-01   0.101478E+03
   342   0.271999E+04   0.166944E+02   0.368771E-01   0.100313E+03
   343   0.269195E+04   0.168590E+02   0.370042E-01   0.991173E+02
   344   0.266429E+04   0.170221E+02   0.371309E-01   0.978922E+02
   345   0.263685E+04   0.171829E+02   0.372573E-01   0.966374E+02
   346   0.260979E+04   0.173430E+02   0.373834E-01   0.953601E+02
   347   0.258302E+04   0.175002E+02   0.375092E-01   0.940460E+02
   348   0.255663E+04   0.176551E+02   0.376346E-01   0.927023E+02
   349   0.253054E+04   0.178086E+02   0.377599E-01   0.913288E+02
   350   0.250482E+04   0.179590E+02   0.378849E-01   0.899327E+02
   351   0.247962E+04   0.181080E+02   0.380096E-01   0.885067E+02
   352   0.245459E+04   0.182547E+02   0.381342E-01   0.870507E+02
   353   0.243000E+04   0.183984E+02   0.382585E-01   0.855790E+02
   354   0.240572E+04   0.185399E+02   0.383827E-01   0.840700E+02
   355   0.238190E+04   0.186791E+02   0.385068E-01   0.825381E+02
   356   0.235845E+04   0.188160E+02   0.386307E-01   0.809907E+02
   357   0.233539E+04   0.189499E+02   0.387545E-01   0.794135E+02
   358   0.231277E+04   0.190802E+02   0.388783E-01   0.778211E+02
   359   0.229046E+04   0.192081E+02   0.390019E-01   0.761993E+02
   360   0.226860E+04   0.193339E+02   0.391256E-01   0.745588E+02
   361   0.224711E+04   0.194566E+02   0.392492E-01   0.728956E+02
   362   0.222607E+04   0.195764E+02   0.393728E-01   0.712124E+02
   363   0.220541E+04   0.196940E+02   0.394964E-01   0.695115E+02
   364   0.218521E+04   0.198071E+02   0.396201E-01   0.677891E+02
   365   0.216538E+04   0.199179E+02   0.397438E-01   0.660509E+02
   366   0.214600E+04   0.200258E+02   0.398676E-01   0.642942E+02
   367   0.212707E+04   0.201292E+02   0.399915E-01   0.625208E+02
